READ SERR 1
@norm_1ph_per_keVcm2s_wabs-0.pco
!
0.11804907 7.33628622E-5 1.47340656E-3
0.118195891 7.34541027E-5 1.50584802E-3
0.118342891 7.35454596E-5 1.53889228E-3
0.11849007 7.36369257E-5 1.57254771E-3
0.118637435 7.37285081E-5 1.60682388E-3
0.118784986 7.3820207E-5 1.64172973E-3
0.118932717 7.39120151E-5 1.67727191E-3
0.119080633 7.40039395E-5 1.71346136E-3
0.119228736 7.40959731E-5 1.75030821E-3
0.119377017 7.41881304E-5 1.78781897E-3
0.119525485 7.42803968E-5 1.82600389E-3
0.119674139 7.43727796E-5 1.86487334E-3
0.119822979 7.44652789E-5 1.90443941E-3
0.119971998 7.45578873E-5 1.94470631E-3
0.120121211 7.46506121E-5 1.9856845E-3
0.120270602 7.47434606E-5 2.02738913E-3
0.120420188 7.48364182E-5 2.06982624E-3
0.120569952 7.49294923E-5 2.11300608E-3
0.120719902 7.50226754E-5 2.1569354E-3
0.120870039 7.51159823E-5 2.20162654E-3
0.121020369 7.52094056E-5 2.24709185E-3
0.121170878 7.53029453E-5 2.29333946E-3
0.121321581 7.53965942E-5 2.3403815E-3
0.121472463 7.54903667E-5 2.38822587E-3
0.121623538 7.55842557E-5 2.43688398E-3
0.1217748 7.56782611E-5 2.48636561E-3
0.121926256 7.57723756E-5 2.53668334E-3
0.12207789 7.58666138E-5 2.58784555E-3
0.122229718 7.59609684E-5 2.63986201E-3
0.122381739 7.60554394E-5 2.69274996E-3
0.12253394 7.61500341E-5 2.74651544E-3
0.122686334 7.6244738E-5 2.80116894E-3
0.122838922 7.63395656E-5 2.85672327E-3
0.122991696 7.64345095E-5 2.91318563E-3
0.123144656 7.65295699E-5 2.9705714E-3
0.123297811 7.66247467E-5 3.02889314E-3
0.123451158 7.67200472E-5 3.08815809E-3
0.123604693 7.68154641E-5 3.14837997E-3
0.12375842 7.69109974E-5 3.20957019E-3
0.123912334 7.70066545E-5 3.27174086E-3
0.12406645 7.71024279E-5 3.33490456E-3
0.124220744 7.71983177E-5 3.39907035E-3
0.124375239 7.7294324E-5 3.46424826E-3
0.124529928 7.73904612E-5 3.53045366E-3
0.124684803 7.74867076E-5 3.5977019E-3
0.124839872 7.75830777E-5 3.66599951E-3
0.124995135 7.76795641E-5 3.73535347E-3
0.125150591 7.77761743E-5 3.80578404E-3
0.125306234 7.78729082E-5 3.87730612E-3
0.125462085 7.79697584E-5 3.94992717E-3
0.125618115 7.80667251E-5 4.02365811E-3
0.125774354 7.81638155E-5 4.09851409E-3
0.125930771 7.82610296E-5 4.17451002E-3
